CODGEO,Taux_chomage,taux_sans_diplome,taux_maison_princ,taux_loc_princ,taux_inactifs,salaire_ouvrier,salaire_employe,TP6020
50256,7.73,23.58,97.69,21.8,12.71,12.4044964136655,11.237151288136,12.0
50267,10.68,28.24,95.4,36.54,13.94,11.4452049050108,11.3351508296495,14.0
50292,8.74,25.15,93.37,28.4,11.94,11.7488208580222,11.3446649848627,10.0
50359,9.9,35.93,80.86,26.89,16.39,12.6541542723021,10.9849212272103,17.0
50391,5.93,35.56,87.35,22.88,14.08,12.5928171670843,10.9737262666291,10.0
50393,11.34,36.37,91.15,33.3,13.54,11.6586976334126,10.7212455152131,16.0
50394,15.09,40.76,86.09,40.98,15.01,11.3814303639858,10.4360991641444,17.0
50400,10.93,35.01,95.61,24.63,17.84,12.138586337545,11.3322805793012,14.0
50402,9.55,19.58,92.02,46.3,15.93,12.505200989206,11.0114120568743,8.0
50410,13.28,29.7,83.0,30.11,14.71,11.5940914452127,10.2929779227789,14.0
50412,13.26,28.22,95.29,25.54,15.51,11.5958037668418,10.6871571151311,13.0
50419,7.57,20.59,98.67,21.21,13.15,12.2373526525005,10.848415205778,10.0
50444,8.05,24.74,98.82,18.53,14.73,12.2376143423471,11.2837583708939,8.0
50484,10.72,34.55,72.51,34.11,14.77,11.8188908034837,10.8987169189709,14.0
50487,10.1,34.93,89.99,32.75,14.16,11.9793635684202,11.004451853729,14.0
50502,14.59,21.63,43.63,55.77,17.71,10.7918704175337,11.0142705507276,18.0
50523,13.41,33.87,93.91,31.32,15.3,11.6350990656906,11.2353017160305,12.0
50532,12.16,21.39,86.0,23.28,14.67,11.7426534024355,11.1223244597623,7.0
50546,5.97,19.49,98.44,15.37,13.32,11.930958723096,11.1621019326793,9.0
50550,8.81,28.63,97.0,23.83,14.76,12.0042801225471,10.7760872780395,11.0
50551,10.85,26.25,89.71,27.79,14.26,12.0406646303268,10.8625446704302,11.0
50565,7.14,24.81,88.72,29.17,11.51,12.2370091665537,11.0873886913107,8.0
50582,10.57,44.93,88.2,30.12,14.32,11.6249068004428,10.6597221111132,15.0
50592,10.19,28.08,89.05,31.39,11.31,12.0022532741483,11.3866913263094,15.0
50601,9.65,30.75,88.0,34.81,12.66,11.9527179590615,11.1733019639323,11.0
50615,11.87,26.91,68.21,44.03,15.63,11.5316162146001,10.7099924819681,12.0
50639,13.64,32.56,74.08,45.3,14.8,11.7376376221059,11.1107039799667,17.0
51030,9.51,24.51,68.05,28.54,13.67,14.5540521240207,11.7090938637573,7.0
51055,9.99,19.93,77.42,34.44,15.13,12.9545496651002,11.9412624633043,7.0
51058,6.84,10.09,51.09,49.76,14.44,12.9267604190078,11.8703998931281,7.0
51108,16.88,23.92,32.87,57.22,17.42,11.701633181243,10.9795938376932,21.0
51172,10.17,21.0,72.36,30.29,15.99,12.7390123254518,12.079365237031,6.0
51217,12.96,30.64,75.31,38.39,12.29,11.9913424107082,10.8821980154211,14.0
51230,17.0,26.21,37.07,50.96,15.53,12.188066239238,11.3921534183495,19.0
51242,10.87,23.66,94.21,24.22,16.27,12.7330320206917,11.0169988821536,9.0
51248,12.03,28.49,87.01,32.8,15.89,12.723301726396,11.2485110131678,15.0
51250,14.52,31.76,74.05,44.0,15.92,11.8379733403424,10.6866196029732,16.0
51380,14.13,33.76,79.11,40.69,13.95,11.5532149948966,11.0439238260794,16.0
51388,8.2,15.58,71.72,47.57,11.51,11.8257901292679,10.8084606331276,12.0
51454,18.79,19.15,20.47,66.84,21.5,11.5497796950841,11.0686074537966,23.0
51474,9.31,18.49,73.61,48.4,14.51,12.4490562283323,11.5242350336715,8.0
51506,15.92,21.78,44.06,56.71,14.51,11.9224566771109,11.0188470498337,15.0
